date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:57:06	111/111	---MCZ	200	added ('OK')	text/plain	etag:%2212-1699605201;gz%22	https://www.ramfit.org/robots.txt		(from )
22:57:07	295684/295684	---MCZ	200	added ('OK')	text/html	etag:%221-1699598028;gz%22	https://www.ramfit.org/	D:/ramkit/copy/ramfit/www.ramfit.org/index.html	(from )
22:57:08	41482/41482	---M-Z	200	added ('OK')	text/css	etag:%22a20a-6429ab0a-fc6dc0dbac6a905c;gz%22	https://www.ramfit.org/wp-content/themes/astra/assets/css/minified/main.min.css?ver=4.1.2	D:/ramkit/copy/ramfit/www.ramfit.org/wp-content/themes/astra/assets/css/minified/main.min8aee.css	(from https://www.ramfit.org/)
22:57:08	3412/3412	---M-Z	200	added ('OK')	text/css	etag:%22d54-6429ab0a-851fa0e75527ebcc;gz%22	https://www.ramfit.org/wp-content/themes/astra/assets/css/minified/menu-animation.min.css?ver=4.1.2	D:/ramkit/copy/ramfit/www.ramfit.org/wp-content/themes/astra/assets/css/minified/menu-animation.min8aee.css	(from https://www.ramfit.org/)
22:57:09	110035/110035	---M-Z	200	added ('OK')	text/css	etag:%221add3-654aa322-ba1b5def35b4141d;gz%22	https://www.ramfit.org/wp-includes/css/dist/block-library/style.min.css?ver=6.4.1	D:/ramkit/copy/ramfit/www.ramfit.org/wp-includes/css/dist/block-library/style.minaec2.css	(from https://www.ramfit.org/)
22:57:09	10435/10435	---M-Z	200	added ('OK')	text/css	etag:%2228c3-64295bf6-fd5f6e9db2773ffa;gz%22	https://www.ramfit.org/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style.css?ver=9.6.5	D:/ramkit/copy/ramfit/www.ramfit.org/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style03d9.css	(from https://www.ramfit.org/)
22:57:09	0/0	---M--	200	added ('OK')	text/html	etag:%2260-1699635430;;;%22	https://www.ramfit.org/events/?ical=1	D:/ramkit/copy/ramfit/www.ramfit.org/events/indexedf3.html	(from https://www.ramfit.org/)
22:57:10	2859/2859	---M-Z	200	added ('OK')	text/css	etag:%22b2b-64295bf5-e481e8a605568a3b;gz%22	https://www.ramfit.org/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.7.4	D:/ramkit/copy/ramfit/www.ramfit.org/wp-content/plugins/contact-form-7/includes/css/styles4999.css	(from https://www.ramfit.org/)
22:57:10	258673/258673	---M-Z	200	added ('OK')	text/css	etag:%223f271-64295bf6-e77188f86507ae58;gz%22	https://www.ramfit.org/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style.css?ver=9.6.5	D:/ramkit/copy/ramfit/www.ramfit.org/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style03d9.css	(from https://www.ramfit.org/)
22:57:11	882/882	---M-Z	200	added ('OK')	text/css	etag:%22372-6429ab0a-1cf03583d8d81fa;gz%22	https://www.ramfit.org/wp-content/themes/astra/assets/css/minified/compatibility/contact-form-7-main.min.css?ver=4.1.2	D:/ramkit/copy/ramfit/www.ramfit.org/wp-content/themes/astra/assets/css/minified/compatibility/contact-form-7-main.min8aee.css	(from https://www.ramfit.org/)
